,Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name
4088,9 killed in Police/Shi’ites’ clash in Funtua,10/12/2016,,Funtua,Katsina,9.0,,State Actor,,Other Armed Actor,,,,,,,,,,,,,,,9.0,,,,Gun,,,Other,,,Government Building,,,,,Other,,http://nationalmirroronline.net/new/3-killed-2-policemen-injured-in-policeshiites-clash-in-funtua/,http://www.premiumtimesng.com/news/headlines/212834-tension-kaduna-youth-attack-shiites.html,http://www.usnews.com/news/world/articles/2016-10-12/13-dead-as-nigerian-forces-clash-with-shiites-group-says,11.52412987,7.310929775,"Funtua, Katsina, Nigeria"
4096,"Gunmen Bomb Ekiti Police Station, Kill Inspector",10/14/2016,,Ido Osi,Ekiti,1.0,,,,Other Armed Actor,,,,,,,1.0,,,,,,,,,,,Bomb,Gun,,,,,,Government Building,,,,,,,http://saharareporters.com/2016/10/16/gunmen-bomb-ekiti-police-station-kill-inspector,http://sunnewsonline.com/pandemonium-in-ekiti-as-gunmen-invade-police-station/,,7.850249767,5.180369854,"Ido Osi, Ekiti, Nigeria"
4102,Niger security forces repel attack on prison holding militants,10/17/2016,,Kollo,Tillabéri,1.0,,,,Other Armed Actor,,,,,,,,,1.0,,,,,,,,,,Gun,,Suicide Bombing,,,,Government Building,,,,,,MUJWA suspected,http://af.reuters.com/article/nigeriaNews/idAFL8N1CN1MA?feedType=RSS&feedName=nigeriaNews,http://www.newsweek.com/niger-repels-attack-prison-holding-jihadis-mali-and-nigeria-510618,http://www.actionnewsjax.com/news/gunmen-attack-niger-prison-holding-extremists/457997077,17.42407417,9.400633812,"Koutoukale, Niger"
4149,"Armed men invade Anambra Police station, wound DPO, 4 others",11/6/2016,,Idemili North,Anambra,0.0,,,,Other Armed Actor,,,,,,,0.0,,,,,,,,,,,,,Machete,,Other,,,Government Building,,,,,,,http://www.authorityngr.com/2016/11/Armed-men-invade-Anambra-Police-station-wound-DPO-4-others/,,,6.150619984,6.833209991,"Idemili North, Anambra, Nigeria"
4192,Six Cameroonian Troops Killed In Boko Haram Attack,11/21/2016,Darrak,Logone et Chari,Extrême-Nord,7.0,Boko Haram,State Actor,,Other Armed Actor,,,,,,,6.0,,1.0,,,,,,,,,,,,,,,,Government Building,,,,,,,http://saharareporters.com/2016/11/22/six-cameroonian-troops-killed-boko-haram-attack,http://af.reuters.com/article/nigeriaNews/idAFL8N1DN416?feedType=RSS&feedName=nigeriaNews,http://www.capitalfm.co.ke/news/2016/11/six-soldiers-killed-boko-haram-attack-cameroon/,5.68547678,12.7228775,"Darak, Cameroon"
4282,"Boko Haram attacks military location in Damaturu, kills captain, 6 Soldiers",1/7/2017,Buni Yadi,Gujba,Yobe,21.0,Boko Haram,State Actor,,,,,,,,15.0,6.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://af.reuters.com/article/nigeriaNews/idAFL5N1EY0S8?feedType=RSS&feedName=nigeriaNews,http://dailypost.ng/2017/01/08/boko-haram-attacks-military-location-damaturu-kills-captain-5-soldiers/,http://saharareporters.com/2017/01/08/boko-haram-militants-spring-surprise-attack-nigeria-army-brigade-yobe-killing-5-soldiers,11.50006008,11.93356037,"Gujba, Yobe, Nigeria"
4330,"Gunmen attack police station, kill officer, cart away arms",1/22/2017,Dengi,Kanam,Plateau,,,,,Other Armed Actor,,,,,,,,,,,,,,,,,,,,,,,,,Government Building,,,,,,,http://www.premiumtimesng.com/regional/north-central/221304-gunmen-attack-police-station-kill-officer-cart-away-arms.html,http://www.thisdaylive.com/index.php/2017/01/24/gunmen-on-rampage-in-plateau-kill-police-officer-seize-rifles/,,9.54882,10.09733,"Kanam, Plateau, Nigeria"
4337,JFT kills suicide bomber,1/25/2017,,Maiduguri,Borno,1.0,Boko Haram,State Actor,,,,,,,,1.0,,,,,,,,,,,,,,,Suicide Bombing,,,,Government Building,,,,,,,http://sunnewsonline.com/3-killed-as-female-bombers-attack-maiduguri/,,,11.83537,13.15166,"Maiduguri, Borno, Nigeria"
4366,2 feared dead in Yobe terrorist attack,2/6/2017,Sasawa,Damaturu,Yobe,2.0,Boko Haram,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,Government Building,,,,,,,http://www.vanguardngr.com/2017/02/2-feared-dead-yobe-terrorist-attack/,https://dailytimes.ng/news/boko-haram-militants-seize-sasawa-community-yobe/,http://www.dailytrust.com.ng/news/general/boko-haram-attacks-military-base-burnt-town-in-yobe/184208.html,11.74440002,11.96255016,"Damaturu, Yobe, Nigeria"
4374,"Gunmen attack Kogi police station, kill two policemen, detainee, 1 other",2/10/2017,Eika,Okehi,Kogi,4.0,,,,Other Armed Actor,,,,,,,2.0,,,,,,,,2.0,,,,Gun,,,,,,Government Building,,,,,,,http://www.premiumtimesng.com/news/top-news/223123-gunmen-attack-kogi-police-station-kill-two-policemen-detainee.html,http://sunnewsonline.com/gunmen-attack-kogi-police-station-3-killed/,http://punchng.com/gunmen-invade-kogi-police-station-kill-four/,7.599289894,6.156449795,"Okehi, Kogi, Nigeria"
4377,"Suspected cultists attack Edo police station, free detainees",2/2/2017,Ibillo,Akoko-Edo,Edo,1.0,,,,Other Armed Actor,,,,,,,,,,,,,,,1.0,,,,Gun,,,,,,Government Building,,,,,,,http://punchng.com/suspected-cultists-attack-edo-police-station-free-detainees/,,,7.2990098,6.160059929,"Akoko-Edo, Edo, Nigeria"
4409,"Boko Haram kills seven soldiers, others in Borno",2/22/2017,Gajiram,Maiduguri,Borno,47.0,Boko Haram,,,,,,,,,40.0,7.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,"""scores"" of BH killed",http://punchng.com/boko-haram-kills-lieutenant-six-others-borno/,http://www.vanguardngr.com/2017/02/boko-haram-attack-kills-seven-in-nigeria-security-sources/,,11.84840012,13.17329979,"Maiduguri, Borno, Nigeria"
4460,Suspected Boko Haram militants attack northeast Nigeria town,3/15/2017,,Magumeri,Borno,1.0,Boko Haram,State Actor,,,,,,,,,1.0,,,,,,,,,,,,Gun,,,Other,,,Government Building,,,,,Other,,http://af.reuters.com/article/nigeriaNews/idAFL5N1GS7CB?feedType=RSS&feedName=nigeriaNews,http://punchng.com/boko-haram-kills-police-sergeant-in-borno/,http://www.premiumtimesng.com/news/top-news/226276-police-sergeant-killed-boko-haram-attack-borno.html,12.11470032,12.8288002,"Magumeri, Borno, Nigeria"
4487,"Herdsmen Invade Benue Prison Farm, Kill Inmate",3/25/2017,Jato-Aka,Kwande,Benue,1.0,,,Sectarian Actor,,,,,,,,,1.0,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://punchng.com/herdsmen-invade-benue-prison-farm-kill-inmate/,http://www.premiumtimesng.com/regional/north-central/227239-herdsmen-invade-benue-prison-farm-centre-kill-inmate.html,http://saharareporters.com/2017/03/27/herdsmen-invade-benue-prison-farm-kill-inmate,6.899990082,9.236399651,"Kwande, Benue, Nigeria"
4504,"One dead, 3 injured as police, protesters clash",3/31/2017,,Dandume,Katsina,1.0,,State Actor,,,,,Other,,,,,,,,,,,,1.0,,,,Gun,,,,,,Government Building,,,,,,,https://www.dailytrust.com.ng/news/general/one-dead-3-injured-as-police-protesters-clash/191605.html,,,11.45020008,7.126060009,"Dandume, Katsina, Nigeria"
4551,"Boko Haram kill 5 soldiers, 4 others missing",4/17/2017,,Sabon Gari,Borno,5.0,Boko Haram,State Actor,,,,,,,,,5.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.premiumtimesng.com/news/headlines/229160-boko-haram-strikes-sacks-army-battalion-kills-nigerian-soldiers-seizes-arms.html,http://www.vanguardngr.com/2017/04/suspected-boko-haram-militants-kill-five-soldiers-borno/,https://dailytimes.ng/news/boko-haram-members-attack-military-base-sabon-gari-kill-3-soldiers-steal-weapons/,11.8886652,13.14772415,"Sabon Gari, Borno, Nigeria"
4594,"Militants invade Nigerian marine police base, kill one",5/4/2017,Iwopin,Ogun Waterside,Ogun,1.0,,,,Other Armed Actor,,,,,,,1.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.premiumtimesng.com/news/top-news/230493-militants-invade-nigerian-marine-police-base-kill-one.html,http://punchng.com/militants-kill-police-sergeant-loot-armoury-in-ogun/,,6.538740158,4.335569859,"Ogun Waterside, Ogun, Nigeria"
4653,"Robbers invade Kwara DPR, tie guards, cart away valuables",5/26/2017,,Ilorin West,Kwara,0.0,,,,,,Robber,,,,,,,,,,,,,0.0,,,,,,,Other,,,Government Building,,,,,,,http://punchng.com/robbers-invade-kwara-dpr-tie-guards-cart-away-valuables/,,,8.467869759,4.534480095,"Ilorin West, Kwara, Nigeria"
4657,Police sergeant killed in Bayelsa,5/28/2017,Sagbama,Yenagoa,Bayelsa,1.0,,,,Other Armed Actor,,,,,,,1.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.premiumtimesng.com/regional/south-south-regional/232537-police-sergeant-killed-in-bayelsa.html,,,4.927050114,6.303060055,"Yenagoa, Bayelsa, Nigeria"
4661,"10 die as Navy, Police clash in Calabar",5/30/2017,,Calabar Municipal,Cross River,10.0,,State Actor,,,,,,,,,3.0,,,,,,,,7.0,,,,Gun,,,Other,,,Government Building,,,,,,7 suspects died,http://www.premiumtimesng.com/news/top-news/232686-three-killed-as-navy-police-officers-clash-in-calabar.html,http://sunnewsonline.com/10-die-as-navy-police-clash-in-calabar/,,4.976749897,8.336370468,"Calabar Municipal, Cross River, Nigeria"
4778,Boko Haram attacks military bases in Borno,7/4/2017,Kamuya,Biu,Borno,0.0,Boko Haram,State Actor,,,,,,,,,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://punchng.com/boko-haram-attacks-military-bases-in-borno/,http://www.vanguardngr.com/2017/07/boko-haram-attacks-military-bases-cast-doubt-fgs-claim/,,10.62010002,12.16689968,"Biu, Borno, Nigeria"
4821,Fire Attack On Kuje Prison In Abuja,7/21/2017,,Kuje,Federal Capital Territory,0.0,,,,,,,Other,,,,0.0,,,,,,,,,,,,,,,Other,,,Government Building,,,,,,,http://saharareporters.com/2017/07/21/fire-attack-kuje-prison-abuja,http://www.premiumtimesng.com/regional/north-central/237723-nps-explains-kuje-prison-fire.html,,8.87996006,7.226830006,"Kuje, Federal Capital Territory, Nigeria"
4827,Prison Inmates Detonate Explosive In Attempted Jailbreak,7/23/2017,,Yenagoa,Bayelsa,0.0,,,,Other Armed Actor,,,,,,,0.0,,,,,,,,,,,Bomb,,,,,,,Government Building,,,,,,,http://saharareporters.com/2017/07/24/prison-inmates-detonate-explosive-attempted-jailbreak,http://sunnewsonline.com/security-agents-foil-jail-break-in-bayelsa/,,4.927050114,6.303060055,"Yenagoa, Bayelsa, Nigeria"
4853,"Thugs invade Kogi assembly, attack lawmakers, strip member",8/1/2017,,Kogi,Kogi,0.0,,,,Other Armed Actor,,,,,,,,,,0.0,,,,,,,,,,,,Other,,,Government Building,,,,,,,http://punchng.com/thugs-invade-kogi-assembly-attack-lawmakers-strip-member/,,,8.162790298,6.786180019,"Kogi, Kogi, Nigeria"
4887,Gunmen attack EFCC office in Abuja,8/16/2017,,,Federal Capital Territory,0.0,,,,Other Armed Actor,,,,,,,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://punchng.com/breaking-gunmen-attack-inec-office-in-abuja/,http://saharareporters.com/2017/08/16/gunmen-attack-efcc-headquarters-abuja,http://www.premiumtimesng.com/news/headlines/240419-just-in-gunmen-attack-efcc-abuja-office.html,8.906233788,7.189051151,", Federal Capital Territory, Nigeria"
4919,Violence erupts as police kill youth in Osogbo,9/3/2017,Oke Baale,Osogbo,Osun,1.0,,State Actor,,,,,Other,,,,,,,,,,,,1.0,,,,Gun,,,Other,,,Government Building,,,,School,,,http://punchng.com/violence-erupts-as-police-kill-one-in-osun/,http://sunnewsonline.com/man-killed-by-police-in-osun/,,7.775889874,4.554729939,"Osogbo, Osun, Nigeria"
4925,"Militants attack Police station in Bayelsa, kill one, injure many",9/5/2017,Kolo,Ogbia,Bayelsa,1.0,,,,Other Armed Actor,,,,,,,1.0,,,,,,,,,,,,,,,,,,Government Building,,,,,,suspected oil thieves,https://www.vanguardngr.com/2017/09/just-militants-attack-police-station-bayelsa-kill-one-injure-many/,http://dailypost.ng/2017/09/05/breaking-officer-killed-others-injured-gunmen-attack-bayelsa-police-station/,http://saharareporters.com/2017/09/05/police-confirm-gunmen-attacked-station-bayelsa-state,4.859290123,6.373149872,"Ogbia, Bayelsa, Nigeria"
4949,Plateau governor confirms two deaths in Jos violence,9/14/2017,,Jos South,Plateau,2.0,,State Actor,Sectarian Actor,,,,,,,,,2.0,,,,,,,,,,,,,,Other,,,Government Building,,,,,Other,,http://punchng.com/curfew-in-jos-ipob-members-burn-aba-police-station-vehicles/,http://www.premiumtimesng.com/news/headlines/243324-just-ipob-plateau-governor-confirms-two-deaths-jos-violence-sues-peace.html,http://saharareporters.com/2017/09/14/breaking-violence-erupts-jos-2,9.744839668,8.838470459,"Jos South, Plateau, Nigeria"
4971,"Gunmen invade Zamfara FRSC command, kill official",9/21/2017,,Chafe,Zamfara,2.0,,State Actor,,Other Armed Actor,,,,,,,1.0,,1.0,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://punchng.com/gunmen-invade-zamfara-frsc-command-kill-official/,https://www.premiumtimesng.com/news/headlines/243839-gunmen-invade-frsc-state-command-kill-official-another-missing.html,https://www.vanguardngr.com/2017/09/troops-kill-one-bandit-recover-2-ak-47-rifles-zamfara/,11.96409988,6.914760113,"Chafe, Zamfara, Nigeria"
5003,"One dead, 7 injured as Okada riders clash with Police in Ibadan",10/10/2017,,Ibadan South-West,Oyo,1.0,,State Actor,,,,,Other,,,,,,,,,,,,1.0,,,,Gun,,,Other,,,Government Building,,,,,,,https://www.vanguardngr.com/2017/10/one-dead-7-injured-okada-riders-clash-police-ibadan/,,,7.341589928,3.872279882,"Ibadan South-West, Oyo, Nigeria"
5016,"Insurgents raid military base in Borno, kill one, injure nine",10/13/2017,,Marte,Borno,1.0,Boko Haram,State Actor,,,,,,,,,1.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://punchng.com/insurgents-raid-military-base-in-borno-kill-one-injure-nine/,,,12.24246025,13.86981964,"Marte, Borno, Nigeria"
5041,Suspected Boko Haram insurgents attack Yobe village,10/24/2017,Sasawa ,Damaturu,Yobe,15.0,Boko Haram,,,,,,,,,,15.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://punchng.com/death-toll-in-boko-haram-raid-on-military-camp-hits-15/,https://www.premiumtimesng.com/news/headlines/247489-boko-haram-killed-15-nigerian-soldiers-two-attacks.html,https://www.vanguardngr.com/2017/10/death-toll-now-15-boko-haram-raid-nigeria-army/,11.74230003,11.95750046,"Damaturu, Yobe, Nigeria"
5124,Three soldiers killed in Boko Haram raid in Borno,11/25/2017,,Magumeri,Borno,4.0,Boko Haram,State Actor,,,,,,,,,3.0,,,,,,,,1.0,,,,Gun,,,,,,Government Building,,Mosque,,,Other,,http://punchng.com/three-soldiers-killed-in-boko-haram-raid-in-borno-army/,http://punchng.com/stray-bullet-kills-five-year-old-in-boko-haram-attack/,https://www.premiumtimesng.com/news/headlines/250657-5-year-old-killed-mosque-clinic-razed-borno-boko-haram-attack.html,12.11470032,12.8288002,"Magumeri, Borno, Nigeria"
5176,Notorious kidnapper killed during daring escape,12/13/2017,,Lagos State,Lagos,1.0,,State Actor,,,,,,,,,,,,,,,1.0,,,,,,Gun,,,,,,Government Building,,,,,,,https://www.premiumtimesng.com/news/more-news/252472-notorious-kidnapper-killed-daring-escape-official.html,,,6.534160137,3.381769896,"Lagos State, Lagos, Nigeria"
5211,JTF kills three suspected criminals in Rivers,12/26/2017,Rumuji,Emuoha,Rivers,3.0,,State Actor,,,,,,,,,,,,,,,3.0,,,,,,Gun,,,,,,Government Building,,,,,,,https://www.vanguardngr.com/2017/12/jtf-kills-three-suspected-criminals-rivers/,http://saharareporters.com/2017/12/27/joint-military-taskforce-kills-three-suspected-criminals-rivers,http://punchng.com/three-killed-for-allegedly-trying-to-steal-military-uniforms-in-rivers/,4.938680172,6.784840107,"Emuoha, Rivers, Nigeria"
5212,"Four killed, as 36 prisoners escape in Akwa Ibom",12/27/2017,,Ikot Ekpene,Akwa Ibom,4.0,,State Actor,,Other Armed Actor,,,,,,,,,4.0,,,,,,,,,,Gun,,,Other,,,Government Building,,,,,,,https://www.premiumtimesng.com/news/headlines/253773-jailbreak-four-killed-36-prisoners-escape-akwa-ibom.html,http://saharareporters.com/2017/12/28/four-killed-akwa-ibom-jail-break,https://www.vanguardngr.com/2017/12/prison-break-four-inmates-killed-36-escaped-ikot-ekpene-prison/,5.187240124,7.715300083,"Ikot Ekpene, Akwa Ibom, Nigeria"
5240,"Many injured as APC, PDP supporters clash in Ondo",1/4/2018,Idanre,Idanre,Ondo,0.0,,,,,,,Other,,,,,,,0.0,,,,,,,,,,,,Other,,,Government Building,,,,,Other,,http://punchng.com/many-injured-as-apc-pdp-supporters-clash-in-ondo/,,,7.12278986,5.108479977,"Idanre, Ondo, Nigeria"
5250,"One dies, INEC office burnt in Delta",1/6/2018,Onitsha-Ugbo,Aniocha North,Delta,1.0,,,,,,,,Election-related Actor,,,,,,,,,,,,1.0,,,,,,Other,,,Government Building,,,,,,,http://punchng.com/one-dead-dsiec-office-razed-as-delta-holds-lg-poll/,http://saharareporters.com/2018/01/06/delta-violence-irregularities-mar-council-polls,,6.318170071,6.468510151,"Aniocha North, Delta, Nigeria"
5273,Youths Attack Police Station In Retaliation Of The Shooting Of A Colleague ,1/14/2018,Ojodu Berger,Ifo,Ogun,0.0,,,,,,,Other,,,,0.0,,,,,,,,,,,,,,,Other,,,Government Building,,,,,,,http://saharareporters.com/2018/01/15/youths-attack-police-station-retaliation-shooting-colleague,,,6.818150043,3.195379972,"Ifo, Ogun, Nigeria"
5310,Taraba boils as youth attack police over killing of commercial tricycle rider,1/22/2018,,Zing,Taraba,1.0,,,,,,,Other,,,,0.0,,,,,,,,,,,,,,,Other,,,Government Building,,,,,,,https://www.premiumtimesng.com/regional/nnorth-east/256418-taraba-boils-youth-attack-police-killing-commercial-tricycle-rider.html,,,8.997420311,11.74271011,"Zing, Taraba, Nigeria"
5386,"Fulani herdsmen invade Akure South council, sack staff",2/13/2018,,Akure South,Ondo,0.0,,,Sectarian Actor,,,,,,,,,,,0.0,,,,,,,,,,Machete,,,,,Government Building,,,,,,,http://punchng.com/herdsmen-sack-ondo-council-secretariat/,http://sunnewsonline.com/just-in-fulani-herdsmen-invade-akure-south-council-sack-staff/,https://www.vanguardngr.com/2018/02/herdsmen-sack-akure-local-government-council-seat-power-ondo/,7.22368,5.168630123,"Akure South, Ondo, Nigeria"
5491,Suspected cultists set police station ablaze in Bayelsa,3/21/2018,Oporoma,Southern Ijaw,Bayelsa,0.0,,,,Other Armed Actor,,,,,,,0.0,,,,,,,,,,,,,,,Other,,,Government Building,,,,,,,http://sunnewsonline.com/suspected-cultists-set-police-station-ablaze-in-bayelsa/,,,4.9702702,6.104199886,"Southern Ijaw, Bayelsa, Nigeria"
5522,"Gunmen invade Kogi police station, kill two cops",4/3/2018,Gegu,Kogi,Kogi,3.0,,,,Other Armed Actor,,,,,,,2.0,,,,,,,,1.0,,,,Gun,,,,,,Government Building,,,,,,,http://punchng.com/gunmen-invade-kogi-police-station-kill-two-cops/,https://www.premiumtimesng.com/regional/north-central/263926-gunmen-invade-kogi-police-station-kill-two-policemen-on-duty.html,http://saharareporters.com/2018/04/03/gunmen-attack-police-station-kogi-kill-2-policemen,8.1638203,6.786590099,"Kogi, Kogi, Nigeria"
5583,"Gunmen attack police station, kill 1 Sgt in Minna",4/19/2018,Kutigi,Lavun,Niger,1.0,,State Actor,,Other Armed Actor,,,,,,,1.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,https://www.vanguardngr.com/2018/04/gunmen-attack-police-station-kill-1-sgt-minna/,,,9.20331,5.60119009,"Lavun, Niger, Nigeria"
5655,"Two killed, properties destroyed as suspected APC thugs storm Rivers High Court",5/11/2018,,Port Harcourt,Rivers,2.0,,,,Other Armed Actor,,,,,,,,,,,,,,,2.0,,,,,,,Other,,,Government Building,,,,,,,https://www.premiumtimesng.com/news/headlines/268069-two-killed-properties-destroyed-as-suspected-apc-thugs-storm-rivers-high-court.html,,,4.81394,7.043690205,"Port Harcourt, Rivers, Nigeria"
5663,"Gunmen attack Nigeria Air Force helipad, kill one",5/13/2018,Igbodene,Yenagoa,Bayelsa,1.0,,State Actor,,Other Armed Actor,,,,,,,1.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,Suspected Niger Delta militants,https://www.premiumtimesng.com/news/headlines/268353-gunmen-attack-nigeria-air-force-helipad-kill-one.html,http://saharareporters.com/2018/05/14/gunmen-bayelsa-kill-naf-official-during-attack-helipad,https://www.vanguardngr.com/2018/05/breaking-8/,4.9340801,6.269579887,"Yenagoa, Bayelsa, Nigeria"
5684,"Soldiers Sack Police Station, Arrest DPO Over Murder Of Colleague",5/17/2018,,Obio/Akpor,Rivers,0.0,,State Actor,,,,,,,,,0.0,,,,,,,,,,,,,,,Other,,,Government Building,,,,,,,http://saharareporters.com/2018/05/17/soldiers-sack-police-station-arrest-dpo-over-murder-colleague,http://sunnewsonline.com/rivers-soldiers-sack-police-station-arrest-officers-over-colleagues-death/,,4.860030174,7.027890205,"Obio/Akpor, Rivers, Nigeria"
5742,"Prison officer, motorcyclist die in Minna jail break",6/3/2018,Minna,Chanchaga,Niger,2.0,,State Actor,,Other Armed Actor,,,,,,,1.0,,,,,,,,1.0,,,,Gun,,,,,,Government Building,,,,,,,http://punchng.com/prison-officer-motorcyclist-die-in-minna-jail-break/,http://saharareporters.com/2018/06/04/prison-official-commercial-motorcyclist-killed-jailbreak-minna-prison-frees-20-inmates,https://www.premiumtimesng.com/news/headlines/270944-another-nigerian-jailbreak-many-prisoners-escape-one-official-killed.html,9.6137304,6.543670177,"Chanchaga, Niger, Nigeria"
5838,"Five killed in Ibadan butchers, police clash",6/28/2018,,Ibadan South-West,Oyo,5.0,,State Actor,,,,,Other,,,,,,,,,,,,5.0,,,,Gun,,,Other,,,Government Building,,,,,Other,,http://punchng.com/five-killed-in-ibadan-butchers-police-clash/,https://www.thisdaylive.com/index.php/2018/06/29/two-killed-in-police-butchers-clash-as-ajimobi-shuts-bodija-market/,https://www.vanguardngr.com/2018/06/5-dead-station-razed-police-clash-butchers-ibadan/,7.3415899,3.872279882,"Ibadan South-West, Oyo, Nigeria"
5845,Gunmen kill another six in Plateau,7/1/2018,Rahwol-Fwi ,Barkin Ladi,Plateau,6.0,,,,Other Armed Actor,,,,,,,,,,,,,,,6.0,,,,,,,Other,,,Government Building,Church,,,,Other,,https://www.premiumtimesng.com/news/headlines/274653-despite-security-presence-gunmen-kill-another-four-in-plateau.html,https://www.thisdaylive.com/index.php/2018/07/01/in-spite-curfew-gunmen-kill-six-in-fresh-attack-on-plateau/,,9.5359201,8.904950142,"Barkin Ladi, Plateau, Nigeria"
5884,"62 Nigerian Soldiers Killed In Boko Haram Attack, ICIR Claims",7/15/2018,Jilli,Geidam,Yobe,62.0,Boko Haram,,,,,,,,,,62.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,https://guardian.ng/news/boko-haram-overruns-nigeria-military-base-in-second-attack-in-days/,http://punchng.com/troops-missing-after-boko-haram-attacked-military-base/,https://thewhistler.ng/story/62-nigerian-soldiers-killed-in-boko-haram-attack-icir-claims/,12.89384,11.92455959,"Geidam, Yobe, Nigeria"
5920,"Boko Haram attack on Jakana, Borno repelled; 2 soldiers and 2 police officers killed",7/26/2018,Jakana,Kaga,Borno,9.0,Boko Haram,State Actor,,,,,,,,5.0,4.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,Other,"""some"" BH also killed (est. at 5)",https://www.premiumtimesng.com/news/headlines/277965-boko-haram-attack-on-jakana-borno-repelled-nigerian-army.html,http://sunnewsonline.com/breaking-boko-haram-attacks-borno-restive-town/,https://www.premiumtimesng.com/news/headlines/278070-17-soldiers-killed-equipment-stolen-in-multiple-boko-haram-onslaught-on-military-formations.html,11.81093,12.50366974,"Kaga, Borno, Nigeria"
5924,"Irate youths attack police station, set vehicles ablaze in Zamfara",7/28/2018,,Zurmi,Zamfara,0.0,,,,,,,Other,,,,0.0,,,,,,,,,,,,,,,Other,,,Government Building,,,,,,,http://guardian.ng/news/irate-youths-attack-police-station-set-vehicles-ablaze-in-zamfara/,,,12.78989,6.776800156,"Zurmi, Zamfara, Nigeria"
5958,"Boko Haram insurgents attack military base in Borno, kill 17",8/8/2018,Garunda,Mobbar,Borno,17.0,Boko Haram,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,Government Building,,,,,,,https://punchng.com/boko-haram-insurgents-attack-military-base-in-borno-kill-17/,http://guardian.ng/news/boko-haram-militants-kill-17-nigerian-soldiers/,https://af.reuters.com/article/nigeriaNews/idAFL5N1V07GC?feedType=RSS&feedName=nigeriaNews,13.11156,12.50559998,"Mobbar, Borno, Nigeria"
5959,12 feared killed as robbers attack banks in Edo,8/9/2018,Igarra,Akoko-Edo,Edo,12.0,,State Actor,,,,Robber,,,,,1.0,,,,,,3.0,,8.0,,,,Gun,,,,,,Government Building,,,Bank,,Other,,https://punchng.com/10-feared-killed-as-robbers-attack-banks-in-edo/,https://guardian.ng/news/10-feared-dead-in-bank-robbery-in-edo-2/,https://www.premiumtimesng.com/regional/south-south-regional/279672-six-killed-as-police-foil-robbery-attack-in-edo.html,7.3002901,6.164800167,"Akoko-Edo, Edo, Nigeria"
5977,Protesters storm Police HQ over detained Premium Times reporter,8/16/2018,,,Federal Capital Territory,0.0,,,,,,,Other,,,,0.0,,,,,,,,,,,,,,,Other,,,Government Building,,,,,,,https://punchng.com/protesters-storm-police-hq-over-detained-premium-times-reporter/,,,8.9062309,7.189050198,", Federal Capital Territory, Nigeria"
6000,Osun Youth Set Police Station Ablaze Over 'Killing Of Student By SARS',8/23/2018,,Iwo,Osun,1.0,,State Actor,,,,,Other,,,,,,,,,,,,1.0,,,,Gun,,,Other,,,Government Building,,,,,,,https://www.premiumtimesng.com/news/headlines/281203-sars-angry-residents-burn-police-station-after-murder.html,http://saharareporters.com/2018/08/24/breaking-osun-youth-set-police-station-ablaze-over-killing-student-sars,,7.65199995,4.190130234,"Iwo, Osun, Nigeria"
6055,Troops kill 50 terrorists in Damasak battle,9/12/2018,Damasak,Mobbar,Borno,50.0,Boko Haram,State Actor,,,,,,,,50.0,,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,https://punchng.com/scores-killed-in-fresh-bharam-attack-on-army-location/,https://www.premiumtimesng.com/news/headlines/283365-just-in-nigerian-soldiers-repel-boko-haram-attack-in-fierce-battle.html,https://www.vanguardngr.com/2018/09/troops-kill-50-terrorists-in-damasak-battle/,13.11156,12.50559998,"Mobbar, Borno, Nigeria"
